"applications","connections","day","year","isoWeek","isoYear","isoYearIsoWeek","jobApplicationCandidateIds","month","pageviews","sessions","uniquePageviews"
11,0,23,2022,34,,202234,"[32949802,31633271,33006575,32995145,32953741,24720901,32968060,10035535,1325958,33001441,32999611]",8,65,42,
9,0,24,2022,34,,202234,"[27880212,30422662,33020994,14330530,33064074,33011875,33083609]",8,75,41,
2,0,25,2022,34,,202234,"[32923637,33125977]",8,12,11,
8,0,26,2022,34,,202234,"[33280473,33252643,33281595,33309148,31741096,33286792,33289281,33295695]",8,34,22,
5,0,27,2022,34,,202234,"[26218272,33332250,33344361,33343967,33344055]",8,19,10,
5,0,28,2022,34,,202234,"[33324514,33363659,30514913,30799412]",8,28,10,
3,0,29,2022,35,,202235,"[33432205,33385438,33437071]",8,29,20,
5,0,30,2022,35,,202235,"[33466642,30652945,33510240,29236479,32346968]",8,27,15,
2,0,31,2022,35,,202235,"[1631579,20495526]",8,37,22,
1,0,1,2022,35,,202235,"[31675030]",9,27,13,
1,0,2,2022,35,,202235,"[33653525]",9,6,5,
2,0,3,2022,35,,202235,"[18619030,31083504]",9,29,25,
0,0,4,2022,35,,202235,"[]",9,6,4,
12,0,5,2022,36,,202236,"[33767446,30799412,25416220,33791975,11679238,31647605,28326670,33783397,33772110,33783763,33764837,821596]",9,118,72,
9,0,6,2022,36,,202236,"[33816867,33822529,33865458,15656629,33863890,33867579,33857011,33843852,33817516]",9,63,38,
9,0,7,2022,36,,202236,"[33887152,33901645,33882099,33886921,33871226,33924501,33893676]",9,46,27,
10,0,8,2022,36,,202236,"[19777378,33090408,34000135,33948549,33948823,33989402,33957806,34001681,34000954,33936805]",9,42,25,
11,0,9,2022,36,,202236,"[34021164,34055765,34068179,34065804,34047528,12029522]",9,55,18,
3,0,10,2022,36,,202236,"[34092424,34090608,32693656]",9,10,6,
4,0,11,2022,36,,202236,"[30590215,34107956,34111002,32693656]",9,19,10,
8,0,12,2022,37,,202237,"[34165297,34148815,31790673,34132095,13130160,34144512,34142832,34214440]",9,46,20,
4,0,13,2022,37,,202237,"[34228732,34280543,34219893,31206866]",9,27,18,
7,0,14,2022,37,,202237,"[34292793,34317384,21986242,34329466,34292787,34323165,28476034]",9,28,14,
2,0,15,2022,37,,202237,"[33717388,34401013]",9,27,17,
3,0,16,2022,37,,202237,"[25122102,34436659,34459005]",9,33,21,
0,0,17,2022,37,,202237,"[]",9,9,6,
2,0,18,2022,37,,202237,"[34512493,34503393]",9,5,3,
4,0,19,2022,38,,202238,"[34521221,34553351,34529212,29334524]",9,33,19,
